zawodnik,klub,pozycja,wiek,narodowość,koniec_kontraktu,wartość_rynkowa
Tuomas Kaukua,AC Oulu,Prawy napastnik,25,Finlandia,2026-12-31,150000
Sami Sipola,AC Oulu,Prawy obrońca,24,Finlandia,2026-12-31,50000
Sampo Ala-Iso,AC Oulu,Środkowy obrońca,23,Finlandia,2026-12-31,
zawodnik,klub,pozycja,wiek,narodowość,koniec_kontraktu,wartość_rynkowa
Jussi Niska,FC Inter Turku,Lewy obrońca,23,Finlandia,2026-12-31,300000
Eetu Huuhtanen,FC Inter Turku,Bramkarz,23,Finlandia,2026-12-31,300000
Luka Kuittinen,FC Inter Turku,Środkowy obrońca,23,Finlandia,2026-12-31,300000
Bismark Ampofo,FC Inter Turku,Środkowy pomocnik,23,Ghana,2026-12-31,300000
Jean Botué,FC Inter Turku,Środkowy napastnik,23,Burkina Faso,2026-12-31,250000
Johannes Yli-Kokko,FC Inter Turku,Ofensywny pomocnik,24,Finlandia,2026-12-31,150000
Julius Tauriainen,FC Inter Turku,Prawy obrońca,25,Finlandia,2026-12-31,50000
Joslyn Luyeye-Lutumba,Kuopion Palloseura,Prawy napastnik,23,Finlandia / DR Kongo,2026-12-31,250000
Hemmo Riihimäki,Kuopion Palloseura,Bramkarz,23,Finlandia,2026-12-31,50000
Matias Rale,Ilves Tampere,Lewy obrońca,25,Finlandia,2026-12-31,400000
Maksim Stjopin,Ilves Tampere,Ofensywny pomocnik,23,Finlandia / Estonia,2026-12-31,250000
Teemu Hytönen,Ilves Tampere,Środkowy napastnik,23,Finlandia,2026-12-31,200000
Kalle Wallius,Ilves Tampere,Prawy obrońca,23,Finlandia,2026-12-31,15
Roope Paunio,SJK Seinäjoki,Bramkarz,23,Finlandia,2026-12-31,350000
Markus Arsalo,SJK Seinäjoki,Środkowy pomocnik,23,Finlandia,2026-12-31,250000
Jeremiah Streng,SJK Seinäjoki,Środkowy napastnik,24,Finlandia,2026-12-31,200000
Salim Yussif,SJK Seinäjoki,Prawy obrońca,24,Ghana,2026-12-31,200000
Elias Mastokangas,SJK Seinäjoki,Lewy napastnik,25,Finlandia,2026-12-31,150000
Jere Kallinen,HJK Helsinki,Środkowy pomocnik,24,Finlandia,2026-12-31,250000
Brooklyn Lyons-Foster,HJK Helsinki,Prawy obrońca,25,Anglia / Irlandia,2026-12-31,200000
Edmund Arko-Mensah,IF Gnistan,Lewy obrońca,24,Ghana,2026-12-31,200000
Vertti Hänninen,IF Gnistan,Środkowy pomocnik,24,Finlandia,2026-12-31,200000
Marcelo Costa,IF Gnistan,Środkowy obrońca,24,Brazylia,2026-12-31,
Herman Sjögrell,FF Jaro,Prawy napastnik,25,Szwecja,2026-12-31,250000
Aron Bjonbäck,FF Jaro,Prawy obrońca,24,Finlandia,2026-12-31,100000
Oliver Isak Kass Kawo,FF Jaro,Środkowy pomocnik,24,Syria / Szwecja,2026-12-31,
Joas Snellman,FF Jaro,Bramkarz,24,Finlandia,2026-12-31,
